E,10/02/18,16:30:00,(C),Grêmio Novorizontino,1-1,Paulista 2018,Grp.C
E,06/02/18,19:15:00,(F),Nacional-AM,0-0,Copa do Brasil 2018,1F
E,03/02/18,16:30:00,(F),Ituano,1-1,Paulista 2018,Grp.B
V,28/01/18,17:00:00,(F),São Bento,0-1,Paulista 2018,Grp.C
D,25/01/18,19:30:00,(C),Santos,1-2,Paulista 2018,Grp.D
D,21/01/18,19:30:00,(C),Linense,0-1,Paulista 2018,Grp.B
V,17/01/18,21:45:00,(F),Corinthians,0-1,Paulista 2018,Grp.B
D,03/12/17,17:00:00,(F),Vasco,2-1,Brasileirão 2017,R38
D,26/11/17,17:00:00,(C),Vitória,2-3,Brasileirão 2017,R37
D,20/11/17,17:00:00,(F),Fluminense,2-0,Brasileirão 2017,R36
V,15/11/17,17:00:00,(C),Atlético Paranaense,2-1,Brasileirão 2017,R35
E,12/11/17,19:00:00,(F),Coritiba,1-1,Brasileirão 2017,R34
D,08/11/17,19:30:00,(C),Grêmio,0-1,Brasileirão 2017,R33
D,05/11/17,18:00:00,(F),Bahia,2-0,Brasileirão 2017,R32
V,29/10/17,17:00:00,(C),Corinthians,1-0,Brasileirão 2017,R31
D,22/10/17,19:00:00,(C),Avaí,1-2,Brasileirão 2017,R30
D,19/10/17,20:00:00,(F),Palmeiras,2-0,Brasileirão 2017,R29
E,12/10/17,17:00:00,(C),Santos,1-1,Brasileirão 2017,R27
D,07/10/17,16:00:00,(F),Cruzeiro,2-1,Brasileirão 2017,R28
V,02/10/17,20:00:00,(C),Flamengo,1-0,Brasileirão 2017,R26
D,24/09/17,16:00:00,(F),Chapecoense,1-0,Brasileirão 2017,R25
V,20/09/17,19:15:00,(C),Sport,1-0,Copa Sul-Americana 2017,08/01/21
D,16/09/17,21:00:00,(C),Atlético Goianiense,1-3,Brasileirão 2017,R24
D,13/09/17,19:15:00,(F),Sport,3-1,Copa Sul-Americana 2017,08/01/21
E,09/09/17,19:00:00,(F),São Paulo,2-2,Brasileirão 2017,R23
D,27/08/17,16:00:00,(C),Atlético Mineiro,1-2,Brasileirão 2017,R22
V,20/08/17,16:00:00,(C),Botafogo,2-1,Brasileirão 2017,R21
E,13/08/17,16:00:00,(F),Sport,0-0,Brasileirão 2017,R20
E,09/08/17,20:00:00,(C),Fluminense,0-0,Brasileirão 2017,R17
E,06/08/17,19:00:00,(C),Vasco,0-0,Brasileirão 2017,R19
D,02/08/17,21:00:00,(F),Vitória,3-1,Brasileirão 2017,R18
V,26/07/17,19:15:00,(F),Sol de América,1-3,Copa Sul-Americana 2017,2F
V,23/07/17,19:00:00,(F),Atlético Paranaense,0-2,Brasileirão 2017,R16
V,19/07/17,21:00:00,(C),Coritiba,4-0,Brasileirão 2017,R15
D,16/07/17,16:00:00,(F),Grêmio,3-1,Brasileirão 2017,R14
D,12/07/17,19:30:00,(C),Bahia,0-3,Brasileirão 2017,R13
D,08/07/17,19:00:00,(F),Corinthians,2-0,Brasileirão 2017,R12
E,02/07/17,19:00:00,(F),Avaí,0-0,Brasileirão 2017,R11
V,29/06/17,19:15:00,(C),Sol de América,1-0,Copa Sul-Americana 2017,2F
D,25/06/17,16:00:00,(C),Palmeiras,1-2,Brasileirão 2017,R10
V,22/06/17,19:30:00,(C),Cruzeiro,1-0,Brasileirão 2017,R9
E,17/06/17,21:00:00,(F),Santos,0-0,Brasileirão 2017,R8
D,14/06/17,21:00:00,(F),Flamengo,2-0,Brasileirão 2017,R7
V,11/06/17,16:00:00,(C),Chapecoense,3-2,Brasileirão 2017,R6
D,08/06/17,19:30:00,(F),Atlético Goianiense,3-0,Brasileirão 2017,R5
V,04/06/17,16:00:00,(C),São Paulo,1-0,Brasileirão 2017,R4
E,28/05/17,11:00:00,(F),Atlético Mineiro,2-2,Brasileirão 2017,R3
D,21/05/17,18:00:00,(F),Botafogo,2-0,Brasileirão 2017,R2
V,14/05/17,16:00:00,(C),Sport,4-0,Brasileirão 2017,R1
E,09/05/17,21:45:00,(F),Gimnasia,1-1,Copa Sul-Americana 2017,1F
E,07/05/17,16:00:00,(F),Corinthians,1-1,Paulista 2017,F
D,30/04/17,16:00:00,(C),Corinthians,0-3,Paulista 2017,F
D,22/04/17,19:00:00,(F),Palmeiras,1-0,Paulista 2017,SF
V,16/04/17,16:00:00,(C),Palmeiras,3-0,Paulista 2017,SF
D,10/04/17,20:00:00,(F),Santos,1-0,Paulista 2017,QF
E,05/04/17,19:15:00,(C),Gimnasia,0-0,Copa Sul-Americana 2017,1F
V,01/04/17,16:00:00,(C),Santos,1-0,Paulista 2017,QF
V,29/03/17,21:45:00,(C),Palmeiras,1-0,Paulista 2017,Grp.D
V,26/03/17,18:30:00,(F),São Bento,1-2,Paulista 2017,Grp.D
E,21/03/17,15:00:00,(F),Santo André,3-3,Paulista 2017,Grp.D
D,18/03/17,18:30:00,(C),Grêmio Novorizontino,1-2,Paulista 2017,Grp.D
E,12/03/17,16:00:00,(C),Corinthians,1-1,Paulista 2017,Grp.D
V,05/03/17,19:00:00,(F),Ituano,0-1,Paulista 2017,Grp.D
E,02/03/17,19:30:00,(C),Cuiabá,1-1,Copa do Brasil 2017,2F
V,25/02/17,19:30:00,(C),São Bernardo,1-0,Paulista 2017,Grp.D
E,22/02/17,19:30:00,(F),Linense,2-2,Paulista 2017,Grp.D
E,18/02/17,19:30:00,(C),Red Bull Brasil,0-0,Paulista 2017,Grp.D
V,15/02/17,19:30:00,(F),Botafogo-SP,1-2,Paulista 2017,Grp.D
D,12/02/17,17:00:00,(F),São Paulo,5-2,Paulista 2017,Grp.D
V,08/02/17,19:30:00,(F),Campinense,0-2,Copa do Brasil 2017,1F
V,05/02/17,19:00:00,(C),Ferroviária,2-1,Paulista 2017,Grp.D
V,11/12/16,17:00:00,(C),Coritiba,2-0,Brasileirão 2016,R38
E,26/11/16,20:00:00,(F),Botafogo,1-1,Brasileirão 2016,R37
V,20/11/16,17:00:00,(C),Fluminense,1-0,Brasileirão 2016,R36
E,17/11/16,21:00:00,(F),Internacional,1-1,Brasileirão 2016,R35
D,06/11/16,11:00:00,(C),Santos,1-2,Brasileirão 2016,R34
D,27/10/16,20:30:00,(F),Sport,1-0,Brasileirão 2016,R33
D,22/10/16,17:00:00,(F),São Paulo,2-0,Brasileirão 2016,R32
V,16/10/16,18:30:00,(C),Santa Cruz,3-0,Brasileirão 2016,R31
V,13/10/16,19:30:00,(C),Vitória,2-0,Brasileirão 2016,R30
D,08/10/16,21:00:00,(F),Cruzeiro,2-0,Brasileirão 2016,R29
D,01/10/16,16:30:00,(C),Atlético Mineiro,1-2,Brasileirão 2016,R28
D,25/09/16,11:00:00,(F),Atlético Paranaense,3-0,Brasileirão 2016,R27
